model,model_aliases,family,trouble_id,trouble_label,lcd_error_message,meaning,what_to_do,service_level_code,source_reference,source_file
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,177,Unable to Print,Service Call SCxxx,Controller/engine service fault.,Record SC code; follow SC code service procedure; do not repeatedly reset fuser SC without inspection.,SCxxx,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,216,Scanner Problem,SC101 / SC120 Scanner Error,Exposure lamp/scanner home position or scanner drive error.,"Check scanner lamp/CIS, home position sensor, scanner motor and harness.",SC101/120,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,242,Memory Full,SC672 Controller Startup Error,Controller board did not start/communicate correctly.,Power-cycle; reseat memory/HDD/SD options; inspect controller board.,SC672,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
BH363,BH363,Konica Minolta/Bizhub,30,Cover Open,Close Front/Right Cover,Cover interlock is open.,Close cover; inspect actuator/interlock switch.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,58,No Power,C3451 Fuser Warm-up Error,Fusing unit failed to warm up.,"Inspect fuser heater, thermistor, thermostat and power relay.",C3451,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,60,No Toner Error,Replace Waste Toner Bottle,Waste toner bottle is full or not detected.,Replace/reseat waste toner bottle and clean sensor area.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,62,Paper Feed Problem,C0200 / C0201 Tray Lift Error,Paper tray lift motor/sensor abnormality.,"Check tray lift mechanism, motor and sensor.",C0200/C0201,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,102,Others,Add Toner,Toner bottle is empty or not supplying toner.,Replace/reseat toner bottle; check toner supply motor if repeated.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,102,Others,C2557 / C2558 ATDC/Toner Density Error,Developer toner density abnormality.,"Check toner supply, developer unit, ATDC sensor and perform proper adjustment.",C2557/C2558,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,102,Others,C3721 / C3722 Fuser Overheat,Fusing unit overheated.,Inspect thermistor/thermostat and fusing control; reset after repair.,C3721/C3722,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,102,Others,Paper Misfeed A/B/C/D,Misfeed in indicated tray/duplex/fuser/exit area.,Open indicated section and remove paper scraps; check rollers and sensors.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
BH363,BH363,Konica Minolta/Bizhub,362,Network,C-FA14 Controller/Board Error,MFP controller/firmware board communication fault.,"Power-cycle, reseat boards/options, update firmware or replace board.",C-FA14,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,BH363.csv
C2051,C2051,Konica Minolta/Bizhub,30,Cover Open,Close Front/Right Cover,Cover interlock is open.,Close cover; inspect actuator/interlock switch.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,58,No Power,C3451 Fuser Warm-up Error,Fusing unit failed to warm up.,"Inspect fuser heater, thermistor, thermostat and power relay.",C3451,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,60,No Toner Error,Replace Waste Toner Bottle,Waste toner bottle is full or not detected.,Replace/reseat waste toner bottle and clean sensor area.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,62,Paper Feed Problem,C0200 / C0201 Tray Lift Error,Paper tray lift motor/sensor abnormality.,"Check tray lift mechanism, motor and sensor.",C0200/C0201,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,102,Others,Add Toner,Toner bottle is empty or not supplying toner.,Replace/reseat toner bottle; check toner supply motor if repeated.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,102,Others,C2557 / C2558 ATDC/Toner Density Error,Developer toner density abnormality.,"Check toner supply, developer unit, ATDC sensor and perform proper adjustment.",C2557/C2558,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,102,Others,C3721 / C3722 Fuser Overheat,Fusing unit overheated.,Inspect thermistor/thermostat and fusing control; reset after repair.,C3721/C3722,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,102,Others,Paper Misfeed A/B/C/D,Misfeed in indicated tray/duplex/fuser/exit area.,Open indicated section and remove paper scraps; check rollers and sensors.,,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
C2051,C2051,Konica Minolta/Bizhub,362,Network,C-FA14 Controller/Board Error,MFP controller/firmware board communication fault.,"Power-cycle, reseat boards/options, update firmware or replace board.",C-FA14,Konica Minolta bizhub service-code references. | https://kmbs.konicaminolta.us/support/,C2051.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,30,Cover Open,Cover is Open,"Front cover, back cover, or ADF cover is not fully closed.",Close all covers firmly; check cover actuator/sensor if message remains.,,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,30,Cover Open,Print Unable 30,Paper eject or rear sensor timing abnormality.,"Clear paper path; inspect eject sensor actuator, rear cover, and fuser exit rollers.",3000,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,37,Drum Error,Drum !,Corona wire dirty or drum unit not seated correctly.,"Slide corona-wire cleaner several times, return to home position, reinstall drum/toner.",,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,37,Drum Error,Print Unable 3B,High voltage/power supply or engine control fault.,"Check HVPS contacts, drum/toner contacts, main PCB/HVPS connections.",3B00,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,37,Drum Error,Replace Drum / Drum End Soon / Drum Stop,Drum unit is near end or stopped.,"Replace drum unit, then reset the drum counter according to model menu.",,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,49,Jamming,Jam Tray / Jam Inside / Jam Rear / Jam 2-sided,Paper jam in displayed section.,Remove paper tray/drum/duplex tray/back cover as indicated; remove all scraps; check rollers/sensors.,,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,58,No Power,Print Unable 0B,Fuser temperature abnormality or fuser related service fault.,Power-cycle after cooling; inspect fuser thermistor/heater and reset/replace fuser if needed.,0B00,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,58,No Power,Print Unable XX,Machine has a mechanical/service fault.,"Power-cycle once; if repeated, record XX and follow service manual/service inspection.",PU-XX,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,60,No Toner Error,No Toner,Toner cartridge/drum assembly is not detected.,"Remove drum+toner, reseat toner in drum, clean contacts, reinstall.",,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,62,Paper Feed Problem,No Paper / Manual Feed,Paper not loaded or machine expects manual feed.,"Load correct paper, adjust guides, verify driver paper source/size.",,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,62,Paper Feed Problem,Print Unable 20,Paper feed/registration sensor timing abnormality.,"Check feed rollers, registration sensor actuator, paper path, and sensor harness.",2000,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,62,Paper Feed Problem,Print Unable 32,Paper feed motor/drive or paper path abnormality.,"Inspect gears, feed motor harness, motor load, and paper tray lift/feed assembly.",3200,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,62,Paper Feed Problem,Size Mismatch,Driver/requested paper size differs from tray setting.,"Match tray paper size, driver setting, and application page size.",,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable 02,Main motor synchronization signal cannot be detected.,"Check main motor harness/connector, gear load, main motor, and main PCB.",0201,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable 03,Polygon motor/laser unit lock signal cannot be detected.,Reconnect laser flat cable; inspect/replace laser unit or main PCB.,0300,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable 04,Laser polygon motor synchronized signal fault.,"Check laser flat cable, laser unit, and main PCB.",0401,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable 0A,Fuser warm-up/temperature control problem.,"Check fuser thermistor, halogen/heater, fuser harness, LVPS/HVPS and main PCB.",0A00,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable 50,Fuser unit/fusing temperature fault.,"Inspect fuser unit, thermistor, heater lamp, LVPS, and fuser connector.",5000,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable 6A,Paper/document feed or sensor related engine fault.,"Inspect paper path sensors, actuator flags, harness, and feed assembly.",6A00,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable 7A,Duplex/2-sided unit or paper transport fault.,"Check duplex tray, rear path, duplex sensor flags, rollers, and connectors.",7A00,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,177,Unable to Print,Print Unable E1,Main PCB/firmware or engine control error.,Update firmware if applicable; inspect/replace main PCB after checking connections.,E100,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,216,Scanner Problem,Print Unable 71,Polygon motor/laser scanner error or laser drive fault.,"Check laser scanner unit, laser flat cable, and main PCB.",7100,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,216,Scanner Problem,Print Unable 72,Laser beam detection/synchronization error.,"Inspect laser unit, scanner mirror contamination, laser cable, and main PCB.",7200,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,216,Scanner Problem,Scan Unable XX,Scanner/ADF/flatbed mechanical or sensor fault.,"Power-cycle once; inspect scanner lock, CIS cable, ADF path, then service if repeated.",SU-XX,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
DCP - L2640DW,DCP - L2640DW | DCP-L2640DW | DCP L2640DW | DCPL2640DW,Brother mono laser,242,Memory Full,Print Data Full / Out of Memory,Print job exceeds available memory.,"Cancel job, reduce resolution, print fewer pages, or simplify PDF/image file.",,Brother mono laser user/service manuals; Brother support Print Unable XX guidance; PrintCopy service-code cross-reference. | https://support.brother.com/g/b/faqend.aspx?c=eu_ot&faqid=faq00002677_007&ftype3=1964&lang=en&pfs=1&prod=mfcl2700dw_us_eu_as ; https://printcopy.info/?brand=Brother&mod=erc&model=DCP-L2540DW,DCP_L2640DW.csv
